title,author,link,cover_image_url
The G.I.'s: the Americans in Britain 1942-1945,byNorman Longmate,https://openlibrary.org/books/OL4936846M/The_G.I.'s,//covers.openlibrary.org/b/id/8238464-M.jpg
The doodlebugs: the story of the flying-bombs,byNorman Longmate,https://openlibrary.org/books/OL3849665M/The_doodlebugs,//covers.openlibrary.org/b/id/4333180-M.jpg
The workhouse,byNorman Longmate,https://openlibrary.org/books/OL5113961M/The_workhouse,//covers.openlibrary.org/b/id/4477023-M.jpg
The real Dad's Army: the story of the Home Guard,byNorman Longmate,https://openlibrary.org/books/OL28277448M/The_real_Dad's_Army,//covers.openlibrary.org/b/id/10204033-M.jpg
Writing for the BBC: a guide for professional and part-time freelance writers on possible markets for their work within the British Broadcasting Corporation,byNorman Longmate,https://openlibrary.org/books/OL1574459M/Writing_for_the_BBC,//covers.openlibrary.org/b/id/10195160-M.jpg
Defending the island: from Caesar to the Armada,byNorman Longmate,https://openlibrary.org/books/OL1634029M/Defending_the_island,//covers.openlibrary.org/b/id/12786024-M.jpg
Island Fortress,byNorman Longmate,https://openlibrary.org/books/OL7794545M/Island_Fortress,//covers.openlibrary.org/b/id/450608-M.jpg
The waterdrinkers: a history of temperance.,byNorman Longmate,https://openlibrary.org/books/OL4024850M/The_waterdrinkers,//covers.openlibrary.org/b/id/8129954-M.jpg
"When we won the war: the story of victory in Europe, 1945",byNorman Longmate,https://openlibrary.org/books/OL4606321M/When_we_won_the_war,//covers.openlibrary.org/b/id/8369231-M.jpg
"The Home front: an anthology of personal experience, 1938-1945",byNorman Longmate,https://openlibrary.org/books/OL3838780M/The_Home_front,//covers.openlibrary.org/b/id/8490201-M.jpg
"Something rich and strange: the story of South Africa's treasures, famous and unknown, sunken and buried, and some personal experiences in the search for lost hoards",byLawrence George Green,https://openlibrary.org/books/OL35606515M/Something_rich_and_strange,//covers.openlibrary.org/b/id/12313048-M.jpg
"These wonders to behold: experiences and discoveries of the author in search of the grain of truth in Africa's strangest tales; and views on certain deep mysteries of Africa, solved and unsolved or never to be solved.",byLawrence George Green,https://openlibrary.org/books/OL5808210M/These_wonders_to_behold,//covers.openlibrary.org/b/id/7015008-M.jpg
Bonny Pit Laddie,byFrederick Grice,https://openlibrary.org/books/OL7353132M/Bonny_Pit_Laddie,//covers.openlibrary.org/b/id/12665350-M.jpg
Bill Thompson's pigeon,byFrederick Grice,https://openlibrary.org/books/OL24775953M/Bill_Thompson's_pigeon,//covers.openlibrary.org/b/id/6829895-M.jpg
Jimmy Lane and his boat,byFrederick Grice,https://openlibrary.org/books/OL14961998M/Jimmy_Lane_and_his_boat,//covers.openlibrary.org/b/id/12313717-M.jpg
Water Break Its Neck,byFrederick Grice,https://openlibrary.org/books/OL10126788M/Water_Break_Its_Neck,//covers.openlibrary.org/b/id/12646915-M.jpg
Out of the mines: the story of a pit boy,byFrederick Grice,https://openlibrary.org/books/OL24765310M/Out_of_the_mines,//covers.openlibrary.org/b/id/6819157-M.jpg
Francis Kilvert and his world,byFrederick Grice,https://openlibrary.org/books/OL3241546M/Francis_Kilvert_and_his_world,//covers.openlibrary.org/b/id/9467848-M.jpg
The Technique of the Love Affair,byDoris Langley Moore,https://openlibrary.org/books/OL8103460M/The_Technique_of_the_Love_Affair,//covers.openlibrary.org/b/id/538823-M.jpg
The Late lord Byron. Posthumous dramas....,byDoris Langley Moore,https://openlibrary.org/books/OL24600759M/The_Late_lord_Byron._Posthumous_dramas....,//covers.openlibrary.org/b/id/6936636-M.jpg
The multimillionaires: six studies in wealth.,byGoronwy Rees,https://openlibrary.org/books/OL5822300M/The_multimillionaires,//covers.openlibrary.org/b/id/11012162-M.jpg
A chapter of accidents.,byGoronwy Rees,https://openlibrary.org/books/OL5340759M/A_chapter_of_accidents.,//covers.openlibrary.org/b/id/9912262-M.jpg
Christ and time: the primitive Christian conception of time and history.,byOscar Cullmann,https://openlibrary.org/books/OL6068704M/Christ_and_time,//covers.openlibrary.org/b/id/10983082-M.jpg
Early Christian worship.,byOscar Cullmann,https://openlibrary.org/books/OL6149462M/Early_Christian_worship.,//covers.openlibrary.org/b/id/10714390-M.jpg
The state in the New Testament.,byOscar Cullmann,https://openlibrary.org/books/OL6198589M/The_state_in_the_New_Testament.,//covers.openlibrary.org/b/id/6914654-M.jpg
"Peter; disciple, apostle, martyr: a historical and theological essay.",byOscar Cullmann,https://openlibrary.org/books/OL6251024M/Peter_disciple_apostle_martyr,//covers.openlibrary.org/b/id/6643440-M.jpg
The early church.,byOscar Cullmann,https://openlibrary.org/books/OL6215625M/The_early_church.,//covers.openlibrary.org/b/id/11034064-M.jpg
Baptism in the New Testament,byOscar Cullmann,https://openlibrary.org/books/OL28407627M/Baptism_in_the_New_Testament,//covers.openlibrary.org/b/id/10975647-M.jpg
Early Christian worship,byOscar Cullmann,https://openlibrary.org/books/OL32095208M/Early_Christian_worship,//covers.openlibrary.org/b/id/10750564-M.jpg
The earliest Christian confessions.,byOscar Cullmann,https://openlibrary.org/books/OL6143960M/The_earliest_Christian_confessions.,//covers.openlibrary.org/b/id/10680592-M.jpg
"Immortality of the soul: or, Resurrection of the dead? The witness of the New Testament.",byOscar Cullmann,https://openlibrary.org/books/OL5628115M/Immortality_of_the_soul,//covers.openlibrary.org/b/id/10981136-M.jpg
"Unity through diversity: its foundation, and a contribution to the discussion concerning the possibilities of its actualization",byOscar Cullmann,https://openlibrary.org/books/OL2391837M/Unity_through_diversity,//covers.openlibrary.org/b/id/4121940-M.jpg
Vatican Council II; the new direction.: Essays,byOscar Cullmann,https://openlibrary.org/books/OL5604910M/Vatican_Council_II_the_new_direction.,//covers.openlibrary.org/b/id/7298875-M.jpg
Message to Catholics and Protestants.,byOscar Cullmann,https://openlibrary.org/books/OL5776170M/Message_to_Catholics_and_Protestants.,//covers.openlibrary.org/b/id/10697965-M.jpg
Essays on the Lord's Supper,byOscar CullmannandFranz J. Leenhardt,https://openlibrary.org/books/OL6247906M/Essays_on_the_Lord's_Supper,//covers.openlibrary.org/b/id/10978582-M.jpg
"Constantinople: city of the world's desire, 1453-1924",byPhilip Mansel,https://openlibrary.org/books/OL982307M/Constantinople,//covers.openlibrary.org/b/id/173862-M.jpg
"The court of France, 1789-1830",byPhilip Mansel,https://openlibrary.org/books/OL2529587M/The_court_of_France_1789-1830,//covers.openlibrary.org/b/id/12695401-M.jpg
Louis XVIII,byPhilip Mansel,https://openlibrary.org/books/OL13570501M/Louis_XVIII,//covers.openlibrary.org/b/id/494447-M.jpg
"Pillars of monarchy: an outline of the political and social history of royal guards, 1400-1984",byPhilip Mansel,https://openlibrary.org/books/OL2928876M/Pillars_of_monarchy,//covers.openlibrary.org/b/id/4661852-M.jpg
